pk,animal_id,animal_project_code,tag_id,tag_fk,scientific_name,common_name,aphia_id,animal_label,animal_nickname,tagger,capture_date_time,capture_location,capture_latitude,capture_longitude,capture_method,capture_depth,capture_temperature_change,release_date_time,release_location,release_latitude,release_longitude,recapture_date_time,length1_type,length1,length1_unit,length2_type,length2,length2_unit,length3_type,length3,length3_unit,length4_type,length4,length4_unit,weight,weight_unit,age,age_unit,sex,life_stage,wild_or_hatchery,stock,surgery_date_time,surgery_location,surgery_latitude,surgery_longitude,treatment_type,tagging_type,tagging_methodology,dna_sample,sedative,sedative_concentration,anaesthetic,buffer,anaesthetic_concentration,buffer_concentration_in_anaesthetic,anaesthetic_concentration_in_recirculation,buffer_concentration_in_recirculation,dissolved_oxygen,pre_surgery_holding_period,post_surgery_holding_period,holding_temperature,comments
226,226,2011_rivierprik,A69-1303-3547,204,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-23T00:00:00Z,fishway Asper,50.917985,3.668011,,,,2012-01-23T19:10:00Z,Bovenschelde Asper - upstream complex Asper near receiver - right bank,50.91475,3.672919,,total length,38.7,cm,,,,,,,,,,96.4,g,,,female,,wild,,,Asper,50.917985,3.668011,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
227,227,2011_rivierprik,A69-1303-3548,205,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-23T00:00:00Z,fishway Oudenaarde,50.850045,3.620819,,,,2012-01-23T19:25:00Z,Bovenschelde Oudenaarde - upstream complex Oudenaarde near receiver - right bank,50.848013,3.616606,,total length,42,cm,,,,,,,,,,121.3,g,,,female,,wild,,2012-01-23T00:00:00Z,Oudenaarde,50.848013,3.616606,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
228,228,2011_rivierprik,A69-1303-3549,206,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-23T00:00:00Z,fishway Oudenaarde,50.850045,3.620819,,,,2012-01-23T19:25:00Z,Bovenschelde Oudenaarde - upstream complex Oudenaarde near receiver - right bank,50.848013,3.616606,,total length,38,cm,,,,,,,,,,90.8,g,,,male,,wild,,2012-01-23T00:00:00Z,Oudenaarde,50.848013,3.616606,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
233,233,2011_rivierprik,A69-1303-3555,212,Lampetra fluviatilis,river lamprey,,,-,-,2011-12-03T00:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2011-12-03T19:05:00Z,downstream Asper (not tijarm!),50.919719,3.661626,,total length,36,cm,,,,,,,,,,96,g,,,unknown,,wild,,2011-12-03T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,This fish was never detected by the receiver network.
234,234,2011_rivierprik,A69-1303-3556,213,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-23T00:00:00Z,fishway Asper,50.918032,3.668011,,,,2012-01-23T19:10:00Z,Bovenschelde Asper - upstream complex Asper near receiver - right bank,50.91475,3.672919,,total length,39.7,cm,,,,,,,,,,113.2,g,,,female,,wild,,,Asper,50.918032,3.668011,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
561,561,2011_rivierprik,A69-1303-41135,98,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-06T00:00:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-01-06T00:00:00Z,weir gutter Merelbeke - about 80 m downstream bridge center of Merelbeke,51.006705,3.752574,,total length,39,cm,,,,,,,,,,93,g,,,female,,wild,,2011-01-06T00:00:00Z,Merelbeke,51.006705,3.752574,INTERNAL TAGGING,"","",,,,,,,,,,,,,,No detection data for this animal
562,562,2011_rivierprik,A69-1303-41136,99,Lampetra fluviatilis,river lamprey,,,-,-,2011-02-16T13:36:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-02-16T13:36:00Z,Stuwgeul Merelbeke - T.h.v. Brug centrum Merelbeke aan trapje van receiver 112294,51.007139,3.751076,,total length,37.9,cm,,,,,,,,,,91,g,,,female,,wild,,2011-02-16T00:00:00Z,Merelbeke,51.007139,3.751076,INTERNAL TAGGING,"","",,,,,,,,,,,,,,No detections of this animal after release
563,563,2011_rivierprik,A69-1303-41137,100,Lampetra fluviatilis,river lamprey,,,-,-,2011-12-13T16:30:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-12-13T16:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.993095,3.724275,,total length,39.2,cm,,,,,,,,,,104.9,g,,,male,,wild,,2011-12-13T00:00:00Z,Merelbeke,50.993095,3.724275,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
564,564,2011_rivierprik,A69-1303-41138,101,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-26T10:00:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-01-26T10:00:00Z,Stuwgeul Merelbeke - T.h.v. Brug centrum Merelbeke aan trapje van receiver 112294,51.007139,3.751076,,total length,37.8,cm,,,,,,,,,,94,g,,,male,,wild,,2011-01-26T00:00:00Z,Merelbeke,51.007139,3.751076,INTERNAL TAGGING,"","",,,,,,,,,,,,,,No detections for this animal after release
565,565,2011_rivierprik,A69-1303-41139,102,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-06T00:00:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-01-06T00:00:00Z,weir gutter Merelbeke - about 80 m downstream bridge center of Merelbeke,51.006872,3.751981,,total length,38.4,cm,,,,,,,,,,101,g,,,female,,wild,,2011-01-06T00:00:00Z,Merelbeke,51.006872,3.751981,INTERNAL TAGGING,"","",,,,,,,,,,,,,,No detections of this animal after release
566,566,2011_rivierprik,A69-1303-41140,103,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-06T00:00:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-01-06T00:00:00Z,weir gutter Merelbeke - about 80 m downstream bridge center of Merelbeke,51.006872,3.751981,,total length,39.8,cm,,,,,,,,,,109,g,,,male,,wild,,2011-01-06T00:00:00Z,Merelbeke,51.006872,3.751981,INTERNAL TAGGING,"","",,,,,,,,,,,,,,No detections of this animal after release
567,567,2011_rivierprik,A69-1303-41141,104,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-12T00:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2011-01-12T00:00:00Z,Zuidervak Ringvaart - T.h.v. kleine spoorwegbrug,51.006703,3.778399,,total length,39.3,cm,,,,,,,,,,107,g,,,male,,wild,,2011-01-12T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
568,568,2011_rivierprik,A69-1303-41142,105,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-09T00:00:00Z,abandonned fykes (?),50.916449,3.668292,,,,2012-01-09T00:00:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,37.3,cm,,,,,,,,,,78,g,,,male,,wild,,2012-01-09T00:00:00Z,Asper,50.916449,3.668292,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
569,569,2011_rivierprik,A69-1303-41143,106,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-12T00:00:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-01-12T00:00:00Z,Weir gutter Merelbeke - Bridge centre Merelbeke at receiver 112294,51.007148,3.751043,,total length,37.5,cm,,,,,,,,,,94,g,,,female,,wild,,2011-01-12T00:00:00Z,Merelbeke,51.007148,3.751043,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
570,570,2011_rivierprik,A69-1303-41249,107,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-12T00:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2011-01-12T00:00:00Z,Tijarm - T.h.v. eerste receiver op de Tijarm 1 (SA) - receiver 112288,51.001512,3.743301,,total length,41,cm,,,,,,,,,,126,g,,,female,,wild,,2012-01-12T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
571,571,2011_rivierprik,A69-1303-41250,108,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-10T00:00:00Z,weir Asper,50.916449,3.668292,,,,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,40.6,cm,,,,,,,,,,106,g,,,female,,wild,,2012-01-10T00:00:00Z,Asper,50.916449,3.668292,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
572,572,2011_rivierprik,A69-1303-41251,109,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-09T23:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,39.5,cm,,,,,,,,,,95,g,,,female,,wild,,2012-01-10T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
573,573,2011_rivierprik,A69-1303-41252,110,Lampetra fluviatilis,river lamprey,,,-,-,2011-11-15T00:00:00Z,fishway Asper,50.918032,3.668011,,,,2011-12-16T17:15:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.672919,,total length,41.3,cm,,,,,,,,,,120,g,,,female,,wild,,,,50.918032,3.668011,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
574,574,2011_rivierprik,A69-1303-41253,111,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-13T00:00:00Z,fishway Asper,50.918032,3.668011,,,,2012-01-13T17:20:00Z,Bovenschelde Asper - upstream complex Asper near receiver - left bank,50.918032,3.672919,,total length,40,cm,,,,,,,,,,101,g,,,male,,wild,,,Asper,50.918032,3.668011,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
575,575,2011_rivierprik,A69-1303-41254,112,Lampetra fluviatilis,river lamprey,,,-,-,2011-01-26T10:00:00Z,weir Merelbeke,51.008291,3.747721,,,,2011-01-26T10:00:00Z,Zuidervak Ringvaart - T.h.v. receiver brug R4/afrit E40 Merelbeke,51.004815,3.76884,,total length,41.2,cm,,,,,,,,,,130,g,,,female,,wild,,2011-01-26T00:00:00Z,Merelbeke,51.004815,3.76884,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
576,576,2011_rivierprik,A69-1303-41255,113,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-09T00:30:00Z,abandonned fykes (?),50.916449,3.668292,,,,2012-01-09T12:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,38.9,cm,,,,,,,,,,92,g,,,female,,wild,,2012-01-09T00:00:00Z,Asper,50.916449,3.668292,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
577,577,2011_rivierprik,A69-1303-41629,116,Lampetra fluviatilis,river lamprey,,,-,-,2011-12-13T16:30:00Z,weir Merelbeke,51.008353,3.747478,,,,2011-12-13T16:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,40,cm,,,,,,,,,,104,g,,,female,,wild,,2011-12-13T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
578,578,2011_rivierprik,A69-1303-41630,117,Lampetra fluviatilis,river lamprey,,,-,-,2012-11-28T00:00:00Z,fishway Asper,50.918032,3.668011,,,,2011-12-28T13:56:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.672919,,total length,37.5,cm,,,,,,,,,,82.5,g,,,female,,wild,,,Asper,50.918032,3.668011,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
579,579,2011_rivierprik,A69-1303-41631,118,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-05T00:00:00Z,weir gutter Asper,50.916409,3.668443,,,,2012-01-05T00:00:00Z,Ongeveer 100m bovens stuw Asper in sterk stromende stuwgeul :-(,50.916409,3.668443,,total length,37.1,cm,,,,,,,,,,83,g,,,male,,wild,,2012-01-05T00:00:00Z,Asper,50.916409,3.668443,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
580,580,2011_rivierprik,A69-1303-41632,119,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-05T00:00:00Z,weir gutter Asper,50.91644,3.668291,,,,2012-01-05T00:00:00Z,Ongeveer 100m bovens stuw Asper in sterk stromende stuwgeul :-(,50.91644,3.668291,,total length,37.1,cm,,,,,,,,,,92,g,,,female,,wild,,2012-01-04T00:00:00Z,Asper,50.91644,3.668291,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
581,581,2011_rivierprik,A69-1303-41633,120,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-09T00:00:00Z,abandonned fykes (?),50.916449,3.668292,,,,2012-01-09T00:00:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,35.6,cm,,,,,,,,,,76,g,,,male,,wild,,2012-01-09T00:00:00Z,Asper,50.916449,3.668292,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
582,582,2011_rivierprik,A69-1303-41634,121,Lampetra fluviatilis,river lamprey,,,-,-,2012-11-28T00:00:00Z,fishway Asper,50.918032,3.668011,,,,2011-12-28T13:56:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.672919,,total length,36.9,cm,,,,,,,,,,85,g,,,female,,wild,,,Asper,50.918032,3.668011,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
583,583,2011_rivierprik,A69-1303-41635,122,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-10T00:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,39.6,cm,,,,,,,,,,97,g,,,male,,wild,,2012-01-10T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
584,584,2011_rivierprik,A69-1303-41636,123,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-10T00:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,39.6,cm,,,,,,,,,,92,g,,,female,,wild,,2012-01-10T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
585,585,2011_rivierprik,A69-1303-41637,124,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-10T00:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,38,cm,,,,,,,,,,98,g,,,male,,wild,,2012-01-10T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
586,586,2011_rivierprik,A69-1303-41638,125,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-10T00:00:00Z,weir Merelbeke,51.008353,3.747478,,,,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,51.008353,3.747478,,total length,39.4,cm,,,,,,,,,,95,g,,,male,,wild,,2012-01-10T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
587,587,2011_rivierprik,A69-1303-41639,126,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-09T00:00:00Z,abandonned fykes (?),50.916449,3.668292,,,,2012-01-09T13:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,40.8,cm,,,,,,,,,,105,g,,,male,,wild,,2012-01-09T00:00:00Z,Asper,50.916449,3.668292,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
588,588,2011_rivierprik,A69-1303-41640,127,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-04T00:00:00Z,weir gutter Asper,50.918032,3.668011,,,,2012-01-04T00:00:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.672919,,total length,40.3,cm,,,,,,,,,,103,g,,,female,,wild,,,Asper,50.918032,3.668011,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
589,589,2011_rivierprik,A69-1303-41641,128,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-04T00:00:00Z,weir gutter Asper,50.917356,3.667877,,,,2012-01-04T00:00:00Z,Bovenschelde Asper - upstream complex Asper near receiver,50.91475,3.672919,,total length,38.1,cm,,,,,,,,,,94,g,,,female,,wild,,,Asper,50.917356,3.667877,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
590,590,2011_rivierprik,A69-1303-41642,129,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-09T00:00:00Z,abandonned fykes (?),50.916449,3.668292,,,,2012-01-09T13:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,36.8,cm,,,,,,,,,,77,g,,,female,,wild,,2012-01-09T00:00:00Z,Asper,50.916449,3.668292,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
591,591,2011_rivierprik,A69-1303-41643,130,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-10T00:20:00Z,weir Asper,50.916449,3.668292,,,,2012-01-10T15:20:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.99154,3.723474,,total length,39.8,cm,,,,,,,,,,96,g,,,female,,wild,,2012-01-10T00:00:00Z,Asper,50.916449,3.668292,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
592,592,2011_rivierprik,A69-1303-41644,131,Lampetra fluviatilis,river lamprey,,,-,-,2012-01-05T00:00:00Z,weir gutter Asper,50.91644,3.668291,,,,2012-01-05T00:00:00Z,Ongeveer 100m bovens stuw Asper in sterk stromende stuwgeul :-(,50.91644,3.668291,,total length,37,cm,,,,,,,,,,74,g,,,female,,wild,,2012-01-04T00:00:00Z,Asper,50.91644,3.668291,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
593,593,2011_rivierprik,A69-1303-41645,132,Lampetra fluviatilis,river lamprey,,,-,-,2011-12-14T14:30:00Z,weir Merelbeke,51.008353,3.747478,,,,2011-12-14T14:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,51.008353,3.747478,,total length,40.2,cm,,,,,,,,,,105.1,g,,,male,,wild,,2011-12-14T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
594,594,2011_rivierprik,A69-1303-41646,133,Lampetra fluviatilis,river lamprey,,,-,-,2011-12-14T14:30:00Z,weir Merelbeke,51.008353,3.747478,,,,2011-12-14T14:30:00Z,Bovenschelde Zwijnaarde - upstream weir Tijarm near receiver,50.991553,3.723474,,total length,39.4,cm,,,,,,,,,,123.3,g,,,female,,wild,,2011-12-14T00:00:00Z,Merelbeke,51.008353,3.747478,INTERNAL TAGGING,"","",,,,,,,,,,,,,,
