pk,tag_id,tag_id_alternative,telemetry_type,manufacturer,model,frequency,type,serial_number,tag_id_protocol,tag_id_code,status,activation_date,battery_estimated_life,battery_estimated_end_date,sensor_type,sensor_slope,sensor_intercept,sensor_range,sensor_transmit_ratio,accelerometer_algorithm,accelerometer_samples_per_second,owner_organization,owner_pi,financing_project,step1_min_delay,step1_max_delay,step1_power,step1_duration,step1_acceleration_duration,step2_min_delay,step2_max_delay,step2_power,step2_duration,step2_acceleration_duration,step3_min_delay,step3_max_delay,step3_power,step3_duration,step3_acceleration_duration,step4_min_delay,step4_max_delay,step4_power,step4_duration,step4_acceleration_duration
132,A69-1303-41645,,Acoustic,VEMCO,V7-4x,069k,animal,1105442,A69-1303,41645,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
98,A69-1303-41135,,Acoustic,VEMCO,V7-4x,069k,animal,1104380,A69-1303,41135,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
99,A69-1303-41136,,Acoustic,VEMCO,V7-4x,069k,animal,1104381,A69-1303,41136,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
100,A69-1303-41137,,Acoustic,VEMCO,V7-4x,069k,animal,1104382,A69-1303,41137,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
101,A69-1303-41138,,Acoustic,VEMCO,V7-4x,069k,animal,1104383,A69-1303,41138,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
102,A69-1303-41139,,Acoustic,VEMCO,V7-4x,069k,animal,1104384,A69-1303,41139,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
103,A69-1303-41140,,Acoustic,VEMCO,V7-4x,069k,animal,1104385,A69-1303,41140,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
104,A69-1303-41141,,Acoustic,VEMCO,V7-4x,069k,animal,1104386,A69-1303,41141,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
105,A69-1303-41142,,Acoustic,VEMCO,V7-4x,069k,animal,1104387,A69-1303,41142,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
106,A69-1303-41143,,Acoustic,VEMCO,V7-4x,069k,animal,1104388,A69-1303,41143,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
107,A69-1303-41249,,Acoustic,VEMCO,V8-4x,069k,animal,1104389,A69-1303,41249,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
109,A69-1303-41251,,Acoustic,VEMCO,V8-4x,069k,animal,1104391,A69-1303,41251,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
110,A69-1303-41252,,Acoustic,VEMCO,V8-4x,069k,animal,1104392,A69-1303,41252,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
111,A69-1303-41253,,Acoustic,VEMCO,V8-4x,069k,animal,1104393,A69-1303,41253,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
112,A69-1303-41254,,Acoustic,VEMCO,V8-4x,069k,animal,1104394,A69-1303,41254,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
113,A69-1303-41255,,Acoustic,VEMCO,V8-4x,069k,animal,1104395,A69-1303,41255,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
116,A69-1303-41629,,Acoustic,VEMCO,V7-4x,069k,animal,1105426,A69-1303,41629,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
117,A69-1303-41630,,Acoustic,VEMCO,V7-4x,069k,animal,1105427,A69-1303,41630,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
118,A69-1303-41631,,Acoustic,VEMCO,V7-4x,069k,animal,1105428,A69-1303,41631,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
119,A69-1303-41632,,Acoustic,VEMCO,V7-4x,069k,animal,1105429,A69-1303,41632,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
120,A69-1303-41633,,Acoustic,VEMCO,V7-4x,069k,animal,1105430,A69-1303,41633,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
121,A69-1303-41634,,Acoustic,VEMCO,V7-4x,069k,animal,1105431,A69-1303,41634,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
122,A69-1303-41635,,Acoustic,VEMCO,V7-4x,069k,animal,1105432,A69-1303,41635,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
123,A69-1303-41636,,Acoustic,VEMCO,V7-4x,069k,animal,1105433,A69-1303,41636,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
124,A69-1303-41637,,Acoustic,VEMCO,V7-4x,069k,animal,1105434,A69-1303,41637,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
125,A69-1303-41638,,Acoustic,VEMCO,V7-4x,069k,animal,1105435,A69-1303,41638,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
126,A69-1303-41639,,Acoustic,VEMCO,V7-4x,069k,animal,1105436,A69-1303,41639,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
127,A69-1303-41640,,Acoustic,VEMCO,V7-4x,069k,animal,1105437,A69-1303,41640,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
128,A69-1303-41641,,Acoustic,VEMCO,V7-4x,069k,animal,1105438,A69-1303,41641,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
129,A69-1303-41642,,Acoustic,VEMCO,V7-4x,069k,animal,1105439,A69-1303,41642,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
130,A69-1303-41643,,Acoustic,VEMCO,V7-4x,069k,animal,1105440,A69-1303,41643,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
131,A69-1303-41644,,Acoustic,VEMCO,V7-4x,069k,animal,1105441,A69-1303,41644,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
133,A69-1303-41646,,Acoustic,VEMCO,V7-4x,069k,animal,1105443,A69-1303,41646,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
204,A69-1303-3547,,Acoustic,VEMCO,V7-4x,069k,animal,1128927,A69-1303,3547,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
205,A69-1303-3548,,Acoustic,VEMCO,V7-4x,069k,animal,1128928,A69-1303,3548,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
206,A69-1303-3549,,Acoustic,VEMCO,V7-4x,069k,animal,1128929,A69-1303,3549,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
212,A69-1303-3555,,Acoustic,VEMCO,V7-4x,069k,animal,1128935,A69-1303,3555,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
213,A69-1303-3556,,Acoustic,VEMCO,V7-4x,069k,animal,1128936,A69-1303,3556,ended,,157,,,,,,,,,INBO,DAVID BUYSSE,,45,95,L,,,,,,,,,,,,,,,,,
108,A69-1303-41250,,Acoustic,VEMCO,V8-4x,069k,animal,1104390,A69-1303,41250,ended,,154,,,,,,,,,INBO,DAVID BUYSSE,,85,140,L,,,,,,,,,,,,,,,,,
